eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EE,Estonia,2018,160.5,E
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EE,Estonia,2019,157.7,E
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EE,Estonia,2020,147.6,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EE,Estonia,2021,142.6,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EE,Estonia,2022,141.6,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EE,Estonia,2023,134.6,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,IE,Ireland,2000,161.3,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,IE,Ireland,2001,166.6,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,IE,Ireland,2002,164.3,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,IE,Ireland,2003,166.7,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,IE,Ireland,2004,167.6,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,IE,Ireland,2005,166.8,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,IE,Ireland,2006,166.3,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,IE,Ireland,2007,161.6,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,IE,Ireland,2008,156.8,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,IE,Ireland,2009,144.4,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,IE,Ireland,2010,133.2,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,IE,Ireland,2011,128.3,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,IE,Ireland,2012,125.1,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,IE,Ireland,2013,120.7,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,IE,Ireland,2014,117.1,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,IE,Ireland,2015,114.1,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,IE,Ireland,2016,112,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,IE,Ireland,2017,135.3,BE
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,IE,Ireland,2018,137.3,E
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,IE,Ireland,2019,137.9,E
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,IE,Ireland,2020,130,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,IE,Ireland,2021,112.6,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,IE,Ireland,2022,100.7,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,IE,Ireland,2023,93.7,
13_31,G_KM,Average CO2 emissions per km from new passenger cars,G_KM,g CO2 per km,EL,Greece,2000,180.3,
